RespondentID,SubmissionTime,Department,Location,Tenure,Manager,eNPS_0_10,Q01_Strategy,Q02_Leadership_Comms,Q03_Manager_Support,Q04_Feedback,Q05_Workload,Q06_Tools,Q07_Recognition,Q08_Collaboration,Q09_PsychSafety,Q10_CareerPath,Q11_Stay12Months,Q12_OverallEngagement,Open_WhatsWorking,Open_ImproveFirst
R0117,2025-11-03 11:09,Finance,Paris,5y+,Yes,10,Agree,Disagree,Agree,Disagree,Neutral,Agree,Disagree,Strongly agree,Neutral,Disagree,Agree,Agree,Cross-team collaboration has improved recently.,
R0118,2025-11-03 09:52,Engineering,Remote,1-3y,No,10,Neutral,Neutral,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Strongly agree,Strongly agree,Team collaboration is strong and people are helpful.,
R0119,2025-11-03 13:41,Finance,Remote,1-3y,No,8,Agree,Disagree,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Manager is approachable and supportive.,
R0120,2025-11-03 10:46,Engineering,Paris,3-5y,No,7,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Strongly agree,Agree,Agree,Neutral,Disagree,,
R0121,2025-11-03 09:39,Sales,Paris,3-5y,No,7,Strongly agree,Agree,Neutral,Agree,Neutral,Strongly agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Cross-team collaboration has improved recently.,More clarity on priorities and decisions from leadership.
R0122,2025-11-03 09:00,Engineering,Remote,1-3y,No,6,Agree,Disagree,Agree,Neutral,Neutral,Strongly agree,Neutral,Agree,Agree,Agree,Strongly agree,Disagree,Autonomy and trust make it easier to get work done.,Faster decisions and less last-minute changes.
R0123,2025-11-03 09:42,Operations,Paris,0-1y,No,10,Agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Good culture and supportive colleagues.,Reduce workload and improve staffing/planning.
R0124,2025-11-03 10:07,Customer Support,Paris,1-3y,Yes,10,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Agree,,
R0125,2025-11-03 09:23,Operations,Paris,1-3y,No,10,Agree,Neutral,Agree,Neutral,Disagree,Agree,Disagree,Strongly agree,Neutral,Neutral,Agree,Neutral,Cross-team collaboration has improved recently.,
R0126,2025-11-03 09:58,Operations,Paris,1-3y,No,10,Neutral,Agree,Agree,Disagree,Neutral,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,,Reduce workload and improve staffing/planning.
R0127,2025-11-03 10:40,Sales,Paris,3-5y,Yes,10,Agree,Disagree,Agree,Neutral,Strongly disagree,Strongly agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,,More clarity on priorities and decisions from leadership.
R0128,2025-11-03 09:25,Customer Support,Lyon,3-5y,Yes,7,Neutral,Agree,Neutral,Agree,Disagree,Agree,Disagree,Neutral,Agree,Strongly disagree,Neutral,Disagree,Manager is approachable and supportive.,
R0129,2025-11-03 09:27,HR / People,Remote,1-3y,No,7,Agree,Strongly agree,Neutral,Neutral,Neutral,Strongly agree,Disagree,Agree,Strongly agree,Neutral,Agree,Agree,Good culture and supportive colleagues.,Faster decisions and less last-minute changes.
R0130,2025-11-03 09:35,Operations,Remote,3-5y,No,6,Agree,Agree,Neutral,Agree,Neutral,Strongly agree,Disagree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Cross-team collaboration has improved recently.,Reduce workload and improve staffing/planning.
R0131,2025-11-03 13:22,Customer Support,Lyon,3-5y,Yes,8,Strongly agree,Neutral,Agree,Agree,Neutral,Strongly agree,Disagree,Agree,Neutral,Disagree,Neutral,Neutral,Cross-team collaboration has improved recently.,Reduce workload and improve staffing/planning.
R0132,2025-11-03 09:25,Operations,Remote,1-3y,No,10,Neutral,Neutral,Disagree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Good culture and supportive colleagues.,More recognition for strong performance.
R0133,2025-11-03 11:58,HR / People,Paris,5y+,No,3,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Strongly agree,Neutral,Neutral,Disagree,Team collaboration is strong and people are helpful.,Reduce workload and improve staffing/planning.
R0134,2025-11-03 09:40,Finance,Lyon,5y+,No,8,Disagree,Agree,Strongly agree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Disagree,Disagree,Neutral,,More recognition for strong performance.
R0135,2025-11-03 10:37,Engineering,Paris,1-3y,No,10,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Strongly agree,Agree,Neutral,Agree,Neutral,Autonomy and trust make it easier to get work done.,Faster decisions and less last-minute changes.
R0136,2025-11-03 09:42,HR / People,Paris,1-3y,Yes,10,Agree,Neutral,Neutral,Disagree,Disagree,Strongly agree,Neutral,Disagree,Agree,Agree,Agree,Agree,,Improve communication between teams.
R0137,2025-11-03 10:34,Engineering,Paris,5y+,No,9,Disagree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Manager is approachable and supportive.,More clarity on priorities and decisions from leadership.
R0138,2025-11-03 09:28,HR / People,Paris,1-3y,Yes,8,Disagree,Neutral,Strongly agree,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Agree,Neutral,,More recognition for strong performance.
R0139,2025-11-03 09:02,Sales,Remote,3-5y,No,8,Agree,Agree,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Cross-team collaboration has improved recently.,More recognition for strong performance.
R0140,2025-11-03 09:13,Operations,Remote,3-5y,No,7,Neutral,Disagree,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Agree,Strongly disagree,Disagree,Agree,Cross-team collaboration has improved recently.,Reduce workload and improve staffing/planning.
R0141,2025-11-03 09:46,HR / People,Remote,0-1y,No,10,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,Neutral,Disagree,Neutral,Agree,Disagree,Disagree,Agree,Cross-team collaboration has improved recently.,More recognition for strong performance.
R0142,2025-11-03 13:25,Sales,Remote,5y+,No,7,Agree,Neutral,Strongly agree,Neutral,Agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Good culture and supportive colleagues.,Improve communication between teams.
R0143,2025-11-03 10:11,HR / People,Paris,1-3y,No,10,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Agree,Neutral,,Improve communication between teams.
R0144,2025-11-03 13:13,Engineering,Paris,5y+,No,10,Neutral,Disagree,Neutral,Agree,Disagree,Agree,Strongly disagree,Strongly agree,Neutral,Agree,Neutral,Agree,Autonomy and trust make it easier to get work done.,Reduce workload and improve staffing/planning.
R0145,2025-11-03 09:29,HR / People,Paris,3-5y,Yes,10,Neutral,Neutral,Neutral,Agree,Neutral,Strongly disagree,Agree,Agree,Agree,Disagree,Agree,Agree,,Clearer career paths and development opportunities.
R0146,2025-11-03 10:59,Operations,Paris,1-3y,No,10,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Cross-team collaboration has improved recently.,Reduce workload and improve staffing/planning.
R0147,2025-11-03 11:10,Engineering,Paris,1-3y,No,9,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Neutral,Good culture and supportive colleagues.,
R0148,2025-11-03 09:53,Engineering,Remote,5y+,No,10,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Team collaboration is strong and people are helpful.,More recognition for strong performance.
R0149,2025-11-03 11:24,Finance,Paris,0-1y,No,10,Agree,Disagree,Agree,Neutral,Agree,Neutral,Strongly disagree,Agree,Strongly agree,Agree,Agree,Neutral,Team collaboration is strong and people are helpful.,Reduce workload and improve staffing/planning.
R0150,2025-11-03 09:27,Engineering,Paris,3-5y,No,9,Neutral,Neutral,Strongly agree,Disagree,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Neutral,Neutral,Autonomy and trust make it easier to get work done.,More recognition for strong performance.
R0151,2025-11-03 09:40,Customer Support,Paris,3-5y,Yes,10,Neutral,Neutral,Agree,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Autonomy and trust make it easier to get work done.,
R0152,2025-11-03 10:28,Engineering,Paris,1-3y,No,9,Neutral,Neutral,Strongly agree,Strongly agree,Disagree,Strongly agree,Disagree,Agree,Agree,Disagree,Agree,Neutral,Manager is approachable and supportive.,
R0153,2025-11-03 09:20,Sales,Paris,1-3y,No,10,Neutral,Neutral,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly agree,Manager is approachable and supportive.,More clarity on priorities and decisions from leadership.
R0154,2025-11-03 09:43,Engineering,Paris,3-5y,No,9,Agree,Neutral,Strongly agree,Neutral,Neutral,Strongly agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Autonomy and trust make it easier to get work done.,
R0155,2025-11-03 10:06,Customer Support,Lyon,1-3y,No,1,Neutral,Agree,Neutral,Agree,Disagree,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Disagree,,More clarity on priorities and decisions from leadership.
R0156,2025-11-03 09:27,HR / People,Lyon,1-3y,No,10,Neutral,Neutral,Agree,Agree,Neutral,Strongly agree,Neutral,Strongly agree,Neutral,Neutral,Strongly agree,Neutral,Cross-team collaboration has improved recently.,More clarity on priorities and decisions from leadership.
R0157,2025-11-03 11:01,Sales,Lyon,0-1y,No,9,Neutral,Agree,Disagree,Disagree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Manager is approachable and supportive.,
R0158,2025-11-03 09:14,HR / People,Remote,3-5y,No,10,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Cross-team collaboration has improved recently.,
R0159,2025-11-03 09:12,Sales,Paris,3-5y,No,8,Agree,Agree,Strongly agree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Team collaboration is strong and people are helpful.,Reduce workload and improve staffing/planning.
R0160,2025-11-03 09:16,Customer Support,Paris,0-1y,No,8,Strongly agree,Neutral,Agree,Neutral,Strongly disagree,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Cross-team collaboration has improved recently.,Reduce workload and improve staffing/planning.
R0161,2025-11-03 09:58,Customer Support,Paris,1-3y,No,7,Disagree,Neutral,Neutral,Agree,Strongly disagree,Agree,Strongly agree,Neutral,Agree,Disagree,Agree,Neutral,,Reduce workload and improve staffing/planning.
R0162,2025-11-03 09:22,Engineering,Lyon,3-5y,No,9,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly agree,Neutral,Neutral,Agree,Manager is approachable and supportive.,More recognition for strong performance.
R0163,2025-11-03 09:45,Sales,Remote,0-1y,No,8,Agree,Neutral,Neutral,Neutral,Disagree,Agree,Strongly agree,Neutral,Neutral,Disagree,Agree,Neutral,Cross-team collaboration has improved recently.,Improve communication between teams.
R0164,2025-11-03 12:50,Operations,Paris,1-3y,No,8,Strongly agree,Neutral,Agree,Neutral,Neutral,Strongly agree,Neutral,Agree,Disagree,Agree,Disagree,Neutral,Tools and systems mostly work well for my role.,
R0165,2025-11-03 11:20,Operations,Remote,1-3y,Yes,6,Agree,Disagree,Neutral,Agree,Neutral,Agree,Strongly agree,Disagree,Strongly agree,Neutral,Neutral,Disagree,Manager is approachable and supportive.,Reduce workload and improve staffing/planning.
R0166,2025-11-03 11:48,Operations,Paris,5y+,No,10,Agree,Neutral,Strongly disagree,Agree,Disagree,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Agree,Cross-team collaboration has improved recently.,Reduce workload and improve staffing/planning.
R0167,2025-11-03 09:24,HR / People,Remote,1-3y,No,7,Agree,Disagree,Agree,Agree,Strongly disagree,Agree,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Manager is approachable and supportive.,More recognition for strong performance.
R0168,2025-11-03 10:42,Engineering,Paris,3-5y,No,10,Disagree,Agree,Agree,Neutral,Agree,Neutral,Disagree,Agree,Agree,Disagree,Disagree,Strongly agree,,
R0169,2025-11-03 09:43,Engineering,Remote,1-3y,No,10,Neutral,Disagree,Neutral,Agree,Neutral,Strongly agree,Agree,Disagree,Agree,Disagree,Neutral,Agree,Manager is approachable and supportive.,
R0170,2025-11-03 15:07,Operations,Paris,3-5y,Yes,4,Strongly agree,Agree,Agree,Agree,Neutral,Strongly agree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Autonomy and trust make it easier to get work done.,Clearer career paths and development opportunities.
R0171,2025-11-03 10:57,Sales,Remote,3-5y,No,6,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Disagree,Neutral,Agree,Agree,Neutral,Neutral,Tools and systems mostly work well for my role.,Improve communication between teams.
R0172,2025-11-03 12:18,Engineering,Remote,0-1y,No,5,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Agree,Strongly agree,Disagree,Neutral,Disagree,Manager is approachable and supportive.,
R0173,2025-11-03 11:08,Operations,Paris,5y+,No,3,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Disagree,Autonomy and trust make it easier to get work done.,Clearer career paths and development opportunities.
R0174,2025-11-03 10:37,Engineering,Paris,1-3y,No,10,Agree,Disagree,Neutral,Neutral,Agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Team collaboration is strong and people are helpful.,More clarity on priorities and decisions from leadership.
R0175,2025-11-03 09:54,Sales,Paris,0-1y,No,10,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Team collaboration is strong and people are helpful.,Improve communication between teams.
R0176,2025-11-03 09:09,Sales,Lyon,5y+,No,10,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Strongly agree,Neutral,Neutral,Agree,Neutral,Autonomy and trust make it easier to get work done.,Clearer career paths and development opportunities.
R0177,2025-11-03 09:22,Customer Support,Paris,5y+,No,10,Strongly agree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Strongly agree,Neutral,Disagree,Agree,Agree,,
R0178,2025-11-03 10:51,HR / People,Paris,3-5y,Yes,10,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Manager is approachable and supportive.,Improve communication between teams.
R0179,2025-11-03 09:22,Engineering,Paris,1-3y,No,10,Neutral,Neutral,Agree,Neutral,Neutral,Strongly agree,Neutral,Disagree,Strongly agree,Agree,Disagree,Agree,Autonomy and trust make it easier to get work done.,Faster decisions and less last-minute changes.
R0180,2025-11-03 10:37,Operations,Paris,0-1y,No,7,Neutral,Neutral,Agree,Neutral,Disagree,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Agree,Disagree,Cross-team collaboration has improved recently.,
